iter	Passed	Remaining
276	1440	3758
277	1444	3752
278	1449	3746
279	1454	3739
280	1458	3733
281	1463	3725
282	1467	3718
283	1472	3711
284	1476	3703
285	1480	3696
286	1484	3689
287	1489	3682
288	1493	3675
289	1498	3668
290	1503	3663
291	1507	3655
292	1512	3648
293	1516	3641
294	1521	3635
295	1525	3628
296	1530	3621
297	1534	3614
298	1539	3608
299	1543	3601
300	1547	3594
301	1552	3587
302	1556	3581
303	1561	3574
304	1565	3567
305	1570	3560
306	1574	3553
307	1578	3547
308	1583	3541
309	1588	3535
310	1592	3528
311	1597	3521
312	1601	3514
313	1605	3507
314	1609	3500
315	1613	3493
316	1618	3488
317	1623	3482
318	1628	3476
319	1632	3469
320	1637	3464
321	1642	3458
322	1647	3453
323	1651	3446
324	1655	3439
325	1659	3431
326	1664	3425
327	1669	3420
328	1674	3414
329	1678	3408
330	1682	3401
331	1688	3396
332	1693	3391
333	1697	3385
334	1702	3379
335	1706	3372
336	1711	3366
337	1716	3361
338	1720	3355
339	1725	3348
340	1729	3342
341	1734	3336
342	1739	3332
343	1744	3327
344	1749	3322
345	1754	3316
346	1759	3310
347	1763	3304
348	1768	3298
349	1773	3292
350	1777	3286
351	1781	3280
352	1786	3274
353	1790	3267
354	1795	3262
355	1800	3256
356	1804	3250
357	1809	3245
358	1814	3239
359	1819	3235
360	1824	3229
361	1829	3223
362	1833	3218
363	1839	3213
364	1843	3207
365	1848	3202
366	1853	3197
367	1858	3192
368	1864	3187
369	1869	3182
370	1873	3177
371	1878	3171
372	1883	3166
373	1889	3161
374	1893	3156
375	1898	3150
376	1904	3146
377	1909	3142
378	1915	3138
379	1920	3133
380	1925	3127
381	1930	3122
382	1936	3119
383	1941	3114
384	1947	3110
385	1952	3105
386	1956	3099
387	1961	3094
388	1966	3088
389	1971	3084
390	1976	3078
391	1981	3073
392	1986	3068
393	1991	3063
394	1996	3058
395	2001	3053
396	2006	3047
397	2011	3041
398	2015	3036
399	2020	3031
400	2025	3026
401	2031	3021
402	2037	3017
403	2041	3012
404	2047	3007
405	2052	3002
406	2057	2997
407	2062	2992
408	2068	2988
409	2073	2983
410	2078	2979
411	2084	2975
412	2089	2970
413	2095	2966
414	2102	2963
415	2107	2959
416	2113	2954
417	2119	2950
418	2124	2945
419	2129	2940
420	2134	2936
421	2140	2931
422	2146	2927
423	2152	2923
424	2157	2918
425	2163	2914
426	2169	2910
427	2174	2906
428	2180	2901
429	2185	2897
430	2191	2892
431	2197	2889
432	2203	2884
433	2207	2879
434	2213	2875
435	2219	2871
436	2224	2865
437	2230	2861
438	2236	2857
439	2242	2853
440	2248	2850
441	2254	2845
442	2259	2841
443	2265	2837
444	2270	2832
445	2276	2828
446	2282	2823
447	2286	2817
448	2291	2812
449	2297	2807
450	2302	2803
451	2307	2798
452	2312	2792
453	2317	2787
454	2322	2781
455	2327	2776
456	2332	2771
457	2337	2766
458	2342	2761
459	2347	2755
460	2352	2750
461	2357	2745
462	2362	2739
463	2366	2734
464	2371	2728
465	2376	2723
466	2381	2717
467	2385	2712
468	2390	2706
469	2395	2701
470	2400	2696
471	2405	2690
472	2410	2685
473	2414	2679
474	2420	2674
475	2425	2669
476	2430	2664
477	2435	2659
478	2440	2654
479	2445	2649
480	2450	2644
481	2455	2638
482	2460	2633
483	2465	2628
484	2470	2623
485	2475	2618
486	2480	2612
487	2485	2607
488	2489	2601
489	2494	2596
490	2499	2591
491	2504	2586
492	2509	2580
493	2514	2575
494	2519	2570
495	2524	2565
496	2529	2559
497	2534	2555
498	2540	2550
499	2545	2545
500	2550	2539
501	2554	2534
502	2559	2529
503	2564	2523
504	2569	2518
505	2573	2512
506	2578	2507
507	2583	2502
508	2588	2496
509	2593	2491
510	2597	2485
511	2602	2480
512	2606	2474
513	2611	2468
514	2615	2462
515	2620	2457
516	2625	2452
517	2630	2447
518	2634	2441
519	2639	2436
520	2643	2430
521	2648	2425
522	2652	2419
523	2656	2413
524	2660	2407
525	2665	2401
526	2669	2396
527	2673	2390
528	2678	2384
529	2682	2378
530	2686	2373
531	2691	2367
532	2696	2362
533	2700	2357
534	2705	2351
535	2709	2345
536	2713	2339
537	2718	2334
538	2723	2329
539	2727	2323
540	2732	2318
541	2737	2313
542	2741	2307
543	2746	2301
544	2750	2296
545	2755	2291
546	2760	2285
547	2764	2280
548	2768	2274
549	2773	2268
550	2777	2263
551	2782	2258
552	2787	2252
553	2791	2247
554	2795	2241
555	2800	2236
556	2804	2230
557	2808	2225
558	2813	2219
559	2817	2213
560	2822	2208
561	2827	2203
562	2832	2198
563	2836	2193
564	2841	2187
565	2845	2181
566	2850	2176
567	2855	2171
568	2859	2166
569	2864	2160
570	2869	2155
571	2873	2150
572	2878	2145
573	2883	2139
574	2887	2134
575	2891	2128
576	2896	2123
577	2901	2118
578	2905	2112
579	2910	2107
580	2914	2101
581	2919	2096
582	2924	2091
583	2928	2086
584	2933	2080
585	2938	2075
586	2942	2070
587	2946	2064
588	2951	2059
589	2956	2054
590	2961	2049
591	2965	2043
592	2970	2038
593	2975	2033
594	2979	2028
595	2983	2022
596	2988	2017
597	2993	2012
598	2997	2006
599	3002	2001
600	3006	1996
601	3011	1990
602	3016	1985
603	3020	1980
604	3024	1974
605	3029	1969
606	3034	1964
607	3039	1959
608	3044	1954
609	3048	1949
610	3053	1943
611	3057	1938
612	3062	1933
613	3066	1927
614	3071	1922
615	3076	1917
616	3080	1912
617	3085	1907
618	3089	1901
619	3093	1896
620	3098	1891
621	3103	1886
622	3108	1880
623	3112	1875
624	3117	1870
625	3121	1864
626	3126	1859
627	3131	1855
628	3136	1849
629	3140	1844
630	3144	1839
631	3149	1833
632	3154	1828
633	3159	1823
634	3163	1818
635	3167	1812
636	3172	1807
637	3176	1802
638	3181	1797
639	3186	1792
640	3190	1786
641	3194	1781
642	3199	1776
643	3203	1771
644	3208	1765
645	3212	1760
646	3217	1755
647	3222	1750
648	3227	1745
649	3232	1740
650	3237	1735
651	3241	1730
652	3246	1725
653	3251	1720
654	3256	1715
655	3260	1709
656	3264	1704
657	3269	1699
658	3275	1694
659	3280	1689
660	3285	1684
661	3289	1679
662	3294	1674
663	3299	1669
664	3304	1664
665	3309	1659
666	3314	1654
667	3318	1649
668	3322	1644
669	3327	1638
670	3332	1634
671	3337	1629
672	3342	1623
673	3346	1618
674	3351	1613
675	3355	1608
676	3360	1603
677	3365	1598
678	3369	1593
679	3374	1587
680	3379	1582
681	3383	1577
682	3388	1572
683	3392	1567
684	3397	1562
685	3402	1557
686	3407	1552
687	3411	1547
688	3416	1541
689	3420	1536
690	3424	1531
691	3430	1526
692	3435	1521
693	3440	1516
694	3445	1511
695	3449	1506
696	3453	1501
697	3458	1496
698	3462	1491
699	3467	1486
700	3472	1481
701	3477	1476
702	3481	1470
703	3485	1465
704	3490	1460
705	3495	1455
706	3499	1450
707	3504	1445
708	3509	1440
709	3513	1435
710	3518	1430
711	3523	1425
712	3528	1420
713	3533	1415
714	3538	1410
715	3543	1405
716	3548	1400
717	3553	1395
718	3558	1390
719	3564	1386
720	3569	1381
721	3574	1376
722	3579	1371
723	3584	1366
724	3589	1361
725	3594	1356
726	3600	1351
727	3605	1347
728	3610	1342
729	3616	1337
730	3621	1332
731	3626	1327
732	3632	1323
733	3637	1318
734	3643	1313
735	3649	1308
736	3654	1304
737	3659	1299
738	3665	1294
739	3670	1289
740	3676	1285
741	3682	1280
742	3687	1275
743	3692	1270
744	3699	1266
745	3704	1261
746	3711	1256
747	3717	1252
748	3722	1247
749	3728	1242
750	3732	1237
751	3737	1232
752	3743	1227
753	3748	1223
754	3753	1218
755	3759	1213
756	3764	1208
757	3770	1203
758	3776	1199
759	3781	1194
760	3786	1189
761	3791	1184
762	3797	1179
763	3801	1174
764	3807	1169
765	3812	1164
766	3817	1159
767	3823	1154
768	3828	1150
769	3834	1145
770	3840	1140
771	3844	1135
772	3849	1130
773	3855	1125
774	3860	1120
775	3866	1115
776	3871	1111
777	3876	1106
778	3881	1101
779	3887	1096
780	3891	1091
781	3896	1086
782	3901	1081
783	3907	1076
784	3912	1071
785	3917	1066
786	3922	1061
787	3927	1056
788	3932	1051
789	3937	1046
790	3942	1041
791	3946	1036
792	3951	1031
793	3956	1026
794	3961	1021
795	3965	1016
796	3970	1011
797	3976	1006
798	3981	1001
799	3985	996
800	3990	991
801	3995	986
802	4000	981
803	4005	976
804	4010	971
805	4015	966
806	4020	961
807	4025	956
808	4030	951
809	4035	946
810	4040	941
811	4045	936
812	4050	931
813	4054	926
814	4059	921
815	4064	916
816	4069	911
817	4074	906
818	4079	901
819	4084	896
820	4089	891
821	4094	886
822	4098	881
823	4103	876
824	4108	871
825	4113	866
826	4118	861
827	4123	856
828	4128	851
829	4132	846
830	4138	841
831	4142	836
832	4147	831
833	4152	826
834	4157	821
835	4162	816
836	4167	811
837	4172	806
838	4177	801
839	4181	796
840	4186	791
841	4190	786
842	4194	781
843	4200	776
844	4205	771
845	4210	766
846	4215	761
847	4221	756
848	4226	751
849	4230	746
850	4236	741
851	4241	736
852	4246	731
853	4252	726
854	4257	721
855	4261	716
856	4266	711
857	4271	706
858	4277	702
859	4282	697
860	4288	692
861	4293	687
862	4298	682
863	4305	677
864	4310	672
865	4316	667
866	4321	662
867	4327	658
868	4332	653
869	4338	648
870	4343	643
871	4348	638
872	4354	633
873	4359	628
874	4364	623
875	4370	618
876	4375	613
877	4380	608
878	4386	603
879	4391	598
880	4396	593
881	4401	588
882	4406	583
883	4411	578
884	4417	574
885	4422	569
886	4427	564
887	4433	559
888	4438	554
889	4443	549
890	4449	544
891	4454	539
892	4459	534
893	4465	529
894	4470	524
895	4475	519
896	4480	514
897	4485	509
898	4490	504
899	4496	499
900	4501	494
901	4506	489
902	4512	484
903	4518	479
904	4524	474
905	4530	470
906	4536	465
907	4541	460
908	4547	455
909	4553	450
910	4558	445
911	4564	440
912	4569	435
913	4574	430
914	4580	425
915	4584	420
916	4589	415
917	4594	410
918	4599	405
919	4604	400
920	4609	395
921	4615	390
922	4620	385
923	4625	380
924	4630	375
925	4635	370
926	4640	365
927	4645	360
928	4650	355
929	4655	350
930	4660	345
931	4665	340
932	4670	335
933	4675	330
934	4680	325
935	4684	320
936	4690	315
937	4695	310
938	4699	305
939	4704	300
940	4709	295
941	4714	290
942	4719	285
943	4724	280
944	4729	275
945	4734	270
946	4739	265
947	4744	260
948	4749	255
949	4754	250
950	4759	245
951	4764	240
952	4770	235
953	4775	230
954	4779	225
955	4784	220
956	4790	215
957	4796	210
958	4801	205
959	4806	200
960	4811	195
961	4816	190
962	4821	185
963	4826	180
964	4831	175
965	4836	170
966	4842	165
967	4847	160
968	4852	155
969	4858	150
970	4864	145
971	4869	140
972	4875	135
973	4880	130
974	4884	125
975	4889	120
976	4894	115
977	4899	110
978	4904	105
979	4910	100
980	4915	95
981	4920	90
982	4926	85
983	4931	80
984	4936	75
985	4942	70
986	4947	65
987	4952	60
988	4958	55
989	4963	50
990	4968	45
991	4974	40
992	4979	35
993	4983	30
994	4989	25
995	4994	20
996	5000	15
997	5005	10
998	5010	5
999	5015	0
